date,open,high,low,close,volume,ticker,source
2011-09-01,13.77929,13.83357,13.59714,13.60821,343725200.0,AAPL,twelvedata
2011-09-02,13.38357,13.5,13.27964,13.35893,438939200.0,AAPL,twelvedata
2011-09-06,13.12036,13.58321,13.088571,13.56214,509698000.0,AAPL,twelvedata
2011-09-07,13.77,13.77143,13.64286,13.71179,350576800.0,AAPL,twelvedata
2011-09-08,13.65714,13.87893,13.65393,13.71929,416158400.0,AAPL,twelvedata
2011-09-09,13.71179,13.78571,13.39357,13.48143,564813200.0,AAPL,twelvedata
2011-09-12,13.32143,13.60286,13.28214,13.56929,467832400.0,AAPL,twelvedata
2011-09-13,13.64786,13.79321,13.58036,13.73643,440560400.0,AAPL,twelvedata
2011-09-14,13.82214,14.0074997,13.77714,13.90357,534724400.0,AAPL,twelvedata
2011-09-15,13.97964,14.059286,13.925,14.034286,417818800.0,AAPL,twelvedata
2011-09-16,14.12643,14.30357,14.10821,14.30357,698513200.0,AAPL,twelvedata
2011-09-19,14.17857,14.75821,14.11429,14.70107,823860800.0,AAPL,twelvedata
2011-09-20,14.83036,15.10214,14.68536,14.76607,775754000.0,AAPL,twelvedata
2011-09-21,14.98714,15.056786,14.71429,14.71929,605976000.0,AAPL,twelvedata
2011-09-22,14.3225,14.63643,14.16786,14.35071,968480800.0,AAPL,twelvedata
2011-09-23,14.29571,14.52643,14.28036,14.43929,546277200.0,AAPL,twelvedata
2011-09-26,14.28071,14.42786,13.975,14.39893,812876400.0,AAPL,twelvedata
2011-09-27,14.5975,14.61607,14.21643,14.25929,632497600.0,AAPL,twelvedata
2011-09-28,14.2925,14.41929,14.16107,14.17893,429637600.0,AAPL,twelvedata
2011-09-29,14.35429,14.36464,13.79321,13.94893,651086800.0,AAPL,twelvedata
2011-09-30,13.82571,13.88893,13.61357,13.61857,547640800.0,AAPL,twelvedata
2011-10-03,13.58464,13.66571,13.3275,13.37857,669099200.0,AAPL,twelvedata
2011-10-04,13.3775,13.63571,12.65143,13.30357,1233677200.0,AAPL,twelvedata
2011-10-05,13.13786,13.565,12.86786,13.50893,786469600.0,AAPL,twelvedata
2011-10-06,13.33321,13.74214,13.27857,13.4775,812582400.0,AAPL,twelvedata
2011-10-07,13.42071,13.49071,13.16036,13.20714,535458000.0,AAPL,twelvedata
2011-10-10,13.53893,13.88607,13.5075,13.88607,442514800.0,AAPL,twelvedata
2011-10-11,14.020357,14.39929,13.98214,14.29607,605687600.0,AAPL,twelvedata
2011-10-12,14.54786,14.61607,14.29071,14.36393,622286000.0,AAPL,twelvedata
2011-10-13,14.46357,14.58679,14.3875,14.58679,426185200.0,AAPL,twelvedata
2011-10-14,14.88679,15.071429,14.83107,15.071429,573367200.0,AAPL,twelvedata
2011-10-17,15.062143,15.23929,14.855,14.99964,686044800.0,AAPL,twelvedata
2011-10-18,15.062857,15.17179,14.85679,15.08,881602400.0,AAPL,twelvedata
2011-10-19,14.33393,14.58643,14.20714,14.23643,1104059600.0,AAPL,twelvedata
2011-10-20,14.28571,14.29821,14.078929,14.11821,549270400.0,AAPL,twelvedata
2011-10-21,14.21786,14.255,13.95536,14.031071,621244400.0,AAPL,twelvedata
2011-10-24,14.14929,14.51786,14.12143,14.49179,502138000.0,AAPL,twelvedata
2011-10-25,14.46536,14.51964,14.19214,14.20607,430427200.0,AAPL,twelvedata
2011-10-26,14.34857,14.37679,14.041071,14.30714,456304800.0,AAPL,twelvedata
2011-10-27,14.55571,14.60714,14.35321,14.45321,494664800.0,AAPL,twelvedata
2011-10-28,14.39286,14.5125,14.37536,14.4625,322842800.0,AAPL,twelvedata
2011-10-31,14.37214,14.61893,14.32321,14.45643,385501200.0,AAPL,twelvedata
2011-11-01,14.19321,14.26786,14.043571,14.16107,531790000.0,AAPL,twelvedata
2011-11-02,14.28893,14.30143,14.11107,14.19321,327350800.0,AAPL,twelvedata
2011-11-03,14.2525,14.40714,14.12,14.39536,441386400.0,AAPL,twelvedata
2011-11-04,14.35821,14.40857,14.25571,14.29429,302229200.0,AAPL,twelvedata
2011-11-07,14.2825,14.28571,14.1475,14.27607,270275600.0,AAPL,twelvedata
2011-11-08,14.36464,14.57143,14.34143,14.50821,400442000.0,AAPL,twelvedata
2011-11-09,14.1775,14.3175,14.079643,14.11714,558684000.0,AAPL,twelvedata
2011-11-10,14.17964,14.18607,13.64821,13.75786,744752400.0,AAPL,twelvedata
2011-11-11,13.8075,13.88214,13.58071,13.73643,653786000.0,AAPL,twelvedata
2011-11-14,13.69714,13.75893,13.50714,13.545,432905200.0,AAPL,twelvedata
2011-11-15,13.6,13.91071,13.55179,13.88679,430810800.0,AAPL,twelvedata
2011-11-16,13.90179,13.96929,13.72571,13.74179,349210400.0,AAPL,twelvedata
2011-11-17,13.71357,13.735,13.41071,13.47893,479900400.0,AAPL,twelvedata
2011-11-18,13.53286,13.57107,13.38857,13.39071,371938000.0,AAPL,twelvedata
2011-11-21,13.22857,13.27429,13.068214,13.17893,447980400.0,AAPL,twelvedata
2011-11-22,13.25071,13.4975,13.24786,13.44679,409021200.0,AAPL,twelvedata
2011-11-23,13.37536,13.42286,13.10286,13.10679,428271200.0,AAPL,twelvedata
2011-11-25,13.15786,13.25536,12.97571,12.98464,254760800.0,AAPL,twelvedata
2011-11-28,13.29821,13.45429,13.22607,13.43286,346413200.0,AAPL,twelvedata
2011-11-29,13.42286,13.52964,13.22143,13.32857,375855200.0,AAPL,twelvedata
2011-11-30,13.6175,13.65286,13.51071,13.65,405938400.0,AAPL,twelvedata
2011-12-01,13.66214,13.89286,13.59821,13.85464,387181200.0,AAPL,twelvedata
2011-12-02,13.9225,14.058214,13.87786,13.91786,379055600.0,AAPL,twelvedata
2011-12-05,14.053214,14.1575,13.9425,14.036071,357210000.0,AAPL,twelvedata
2011-12-06,14.018214,14.093929,13.90643,13.9625,283598000.0,AAPL,twelvedata
2011-12-07,13.92607,13.96214,13.81286,13.89607,304746400.0,AAPL,twelvedata
2011-12-08,13.98036,14.125,13.93679,13.95214,376356400.0,AAPL,twelvedata
2011-12-09,14.030357,14.072857,13.96536,14.057857,296993200.0,AAPL,twelvedata
2011-12-12,13.98857,14.067857,13.90893,13.99429,301067200.0,AAPL,twelvedata
2011-12-13,14.035714,14.12143,13.825,13.88607,338928800.0,AAPL,twelvedata
2011-12-14,13.81071,13.835,13.48857,13.57821,406887600.0,AAPL,twelvedata
2011-12-15,13.69036,13.705,13.51107,13.53357,256200000.0,AAPL,twelvedata
2011-12-16,13.58429,13.71964,13.55607,13.60786,421478400.0,AAPL,twelvedata
2011-12-19,13.65964,13.74464,13.58857,13.65036,235530400.0,AAPL,twelvedata
2011-12-20,13.84857,14.14643,13.83071,14.14107,337215200.0,AAPL,twelvedata
2011-12-21,14.1675,14.18929,14.00035667,14.15893,262948000.0,AAPL,twelvedata
2011-12-22,14.17857,14.25464,14.14643,14.23393,202358800.0,AAPL,twelvedata
2011-12-23,14.27464,14.41393,14.2675,14.40464,269399200.0,AAPL,twelvedata
2011-12-27,14.39643,14.61036,14.39357,14.51893,265076000.0,AAPL,twelvedata
2011-12-28,14.53179,14.58036,14.33357,14.38,228662000.0,AAPL,twelvedata
2011-12-29,14.40714,14.4875,14.30393,14.46857,215978000.0,AAPL,twelvedata
2011-12-30,14.41107,14.51,14.41036,14.46429,179662000.0,AAPL,twelvedata
2012-01-03,14.62143,14.73214,14.60714,14.68679,302220800.0,AAPL,twelvedata
2012-01-04,14.64286,14.81,14.61714,14.76571,260022000.0,AAPL,twelvedata
2012-01-05,14.81964,14.94821,14.73821,14.92964,271269600.0,AAPL,twelvedata
2012-01-06,14.99179,15.098214,14.97214,15.085714,318292800.0,AAPL,twelvedata
2012-01-09,15.19643,15.27679,15.048214,15.061786,394024400.0,AAPL,twelvedata
2012-01-10,15.21107,15.21429,15.053571,15.11571,258196400.0,AAPL,twelvedata
2012-01-11,15.095714,15.10179,14.97536,15.091071,215084800.0,AAPL,twelvedata
2012-01-12,15.081429,15.10357,14.95536,15.049643,212587200.0,AAPL,twelvedata
2012-01-13,14.98929,15.016071,14.95214,14.99321,226021600.0,AAPL,twelvedata
2012-01-17,15.15,15.21393,15.10571,15.16786,242897200.0,AAPL,twelvedata
2012-01-18,15.24857,15.33821,15.225,15.32536,276791200.0,AAPL,twelvedata
2012-01-19,15.3625,15.40607,15.2325,15.27679,261738400.0,AAPL,twelvedata
2012-01-20,15.2675,15.26786,14.99107,15.010714,413974400.0,AAPL,twelvedata
2012-01-23,15.095357,15.30179,15.082143,15.26464,306062400.0,AAPL,twelvedata
2012-01-24,15.18214,15.18214,14.98393,15.014643,547638000.0,AAPL,twelvedata
2012-01-25,16.23,16.23036,15.8475,15.95214,958314000.0,AAPL,twelvedata
2012-01-26,16.012857,16.028214,15.82643,15.87964,323985200.0,AAPL,twelvedata
2012-01-27,15.86929,16.017143,15.84893,15.97429,299709200.0,AAPL,twelvedata
2012-01-30,15.91821,16.21071,15.90679,16.17893,379341200.0,AAPL,twelvedata
2012-01-31,16.27107,16.36571,16.18107,16.30286,391683600.0,AAPL,twelvedata
2012-02-01,16.37179,16.3925,16.26964,16.2925,270046000.0,AAPL,twelvedata
2012-02-02,16.28214,16.3275,16.21357,16.25429,186796400.0,AAPL,twelvedata
2012-02-03,16.33214,16.42857,16.27,16.41714,286599600.0,AAPL,twelvedata
2012-02-06,16.37071,16.60643,16.36429,16.57036,249412800.0,AAPL,twelvedata
2012-02-07,16.61607,16.77679,16.59214,16.74393,316223600.0,AAPL,twelvedata
2012-02-08,16.80357,17.028214,16.775,17.024286,407890000.0,AAPL,twelvedata
2012-02-09,17.17,17.74107,17.16286,17.61321,884214800.0,AAPL,twelvedata
2012-02-10,17.53429,17.77214,17.44821,17.62214,631302000.0,AAPL,twelvedata
2012-02-13,17.84036,17.99393,17.75321,17.95,517216000.0,AAPL,twelvedata
2012-02-14,18.023571,18.19857,17.92857,18.195,460398400.0,AAPL,twelvedata
